Number,Associated,TaxRank,MinScore,NextMaxScore
14607,Corndogvirus,Genus,167:05:00,158:07:00
11006,Bixzunavirus,Genus,986:06:00,547:04:00
9993,Bixzunavirus,Genus,152:02:00,81:02:00
11090,Kostyavirus,Genus,288:07:00,70:02:00
18530,Siminovitchvirus,Genus,209:05:00,150:04:00
9959,Bixzunavirus,Genus,1933:09:00,319:04:00
11203,Kostyavirus,Genus,89:00:00,36:08:00
9986,Bixzunavirus,Genus,126:03:00,50:02:00
13794,Tunavirus,Genus,96:08:00,89:01:00
21805,Cepunavirus,Genus,109:01:00,89:02:00
9977,Bixzunavirus,Genus,564:09:00,400:08:00
10984,Bixzunavirus,Genus,166:06:00,58:00:00
14979,Bixzunavirus,Genus,491:00:00,63:06:00
14499,Timquatrovirus,Genus,65:03:00,39:08:00
23615,Certrevirus,Genus,146:05:00,135:02:00
11037,Bixzunavirus,Genus,296:04:00,139:03:00
16233,Cheoctovirus,Genus,51:00:00,38:02:00
10992,Bixzunavirus,Genus,207:04:00,33:00:00
10008,Bixzunavirus,Genus,175:02:00,43:03:00
30231,Lightbulbvirus,Genus,209:03:00,141:08:00
10945,Bixzunavirus,Genus,102:06:00,45:07:00
6123,Twortvirus,Genus,117:07:00,115:00:00
9990,Bixzunavirus,Genus,181:02:00,103:08:00
10021,Bixzunavirus,Genus,688:09:00,134:03:00
9991,Bixzunavirus,Genus,127:04:00,83:09:00
11360,Phifelvirus,Genus,127:07:00,108:00:00
14858,Cheoctovirus,Genus,35:04:00,33:01:00
18412,Seunavirus,Genus,137:04:00,123:03:00
30576,Caeruleovirus,Genus,86:05:00,72:01:00
11035,Bixzunavirus,Genus,149:00:00,75:08:00
11114,Kostyavirus,Genus,120:08:00,65:03:00
11009,Bixzunavirus,Genus,120:02:00,35:08:00
18701,Abouovirus,Genus,369:05:00,283:04:00
12483,Fromanvirus,Genus,125:09:00,
30724,Pecentumvirus,Genus,192:08:00,52:00:00
11014,Bixzunavirus,Genus,215:02:00,147:00:00
13524,Certrevirus,Genus,168:03:00,156:03:00
28132,Baltimorevirus,Genus,72:06:00,56:05:00
14520,Timquatrovirus,Genus,91:04:00,34:02:00
20880,Seunavirus,Genus,120:01:00,118:08:00
15980,Bequatrovirus,Genus,236:06:00,222:05:00
22738,Nonagvirus,Genus,231:05:00,231:02:00
23285,Slashvirus,Genus,267:01:00,194:01:00
10932,Bixzunavirus,Genus,72:07:00,63:07:00
11082,Kostyavirus,Genus,147:07:00,44:04:00
29446,Bastillevirus,Genus,148:05:00,58:03:00
16038,Tsarbombavirus,Genus,208:00:00,154:02:00
13531,Suspvirus,Genus,43:09:00,39:06:00
6758,Tequintavirus,Genus,183:05:00,161:02:00
11173,Kostyavirus,Genus,237:05:00,49:04:00
15998,Bequatrovirus,Genus,136:09:00,109:00:00
16048,Caeruleovirus,Genus,176:02:00,174:05:00
28339,Cimpunavirus,Genus,838:09:00,776:05:00
16062,Caeruleovirus,Genus,142:05:00,138:09:00
12020,Bruynoghevirus,Genus,2024:00:00,1720:08:00
30878,Bastillevirus,Genus,154:08:00,116:08:00
14302,Cheoctovirus,Genus,99:02:00,77:00:00
14200,Fromanvirus,Genus,38:01:00,
14253,Cheoctovirus,Genus,164:03:00,161:01:00
13990,Omegavirus,Genus,233:09:00,61:08:00
10015,Bixzunavirus,Genus,246:04:00,129:05:00
22625,Gaprivervirus,Genus,145:09:00,97:07:00
13679,Kolesnikvirus,Genus,140:09:00,132:03:00
14531,Bongovirus,Genus,191:01:00,171:07:00
23800,Tinduovirus,Genus,163:07:00,159:01:00
9992,Bixzunavirus,Genus,725:07:00,439:01:00
29589,Bequatrovirus,Genus,353:03:00,326:05:00
14307,Cheoctovirus,Genus,69:05:00,39:02:00
9956,Bixzunavirus,Genus,336:07:00,105:01:00
24512,Barnyardvirus,Genus,167:04:00,141:06:00
10011,Bixzunavirus,Genus,605:03:00,187:07:00
10007,Bixzunavirus,Genus,271:08:00,151:05:00
9962,Bixzunavirus,Genus,1101:00:00,432:05:00
10014,Bixzunavirus,Genus,148:07:00,118:06:00
15907,Pipefishvirus,Genus,137:02:00,89:01:00
14506,Timquatrovirus,Genus,53:03:00,52:03:00
11321,Phifelvirus,Genus,134:01:00,131:05:00
13365,Teseptimavirus,Genus,33:03:00,
11138,Kostyavirus,Genus,115:02:00,90:09:00
24630,Lessievirus,Genus,300:01:00,290:02:00
10922,Bixzunavirus,Genus,135:09:00,110:01:00
10018,Bixzunavirus,Genus,532:04:00,53:02:00
12404,Bignuzvirus,Genus,229:09:00,224:08:00
20909,Gelderlandvirus,Genus,79:04:00,75:04:00
11351,Phifelvirus,Genus,167:04:00,165:04:00
11000,Bixzunavirus,Genus,132:02:00,40:06:00
12012,Bruynoghevirus,Genus,222:04:00,191:01:00
29399,Bastillevirus,Genus,105:05:00,71:04:00
10917,Bixzunavirus,Genus,157:04:00,131:06:00
11183,Kostyavirus,Genus,147:06:00,69:00:00
25685,Hendrixvirus,Genus,160:07:00,136:04:00
30812,Lightbulbvirus,Genus,246:03:00,161:00:00
11134,Kostyavirus,Genus,115:06:00,75:06:00
6734,Tequintavirus,Genus,162:05:00,150:07:00
14156,Kostyavirus,Genus,74:03:00,63:08:00
6147,Kayvirus,Genus,524:04:00,441:01:00
25687,Hendrixvirus,Genus,149:05:00,110:04:00
14377,Fromanvirus,Genus,31:06:00,
11982,Kolesnikvirus,Genus,105:05:00,97:04:00
20810,Jwalphavirus,Genus,114:09:00,66:00:00
12488,Fromanvirus,Genus,72:08:00,53:09:00
23570,Vequintavirus,Genus,225:09:00,46:05:00
26588,Krischvirus,Genus,219:00:00,49:02:00
18604,Okubovirus,Genus,231:00:00,229:07:00
28271,Limestonevirus,Genus,187:05:00,186:08:00
14362,Fromanvirus,Genus,168:02:00,37:08:00
22657,Gaprivervirus,Genus,117:07:00,76:05:00
22236,Timquatrovirus,Genus,35:09:00,
6753,Tequintavirus,Genus,96:02:00,91:09:00
16009,Bastillevirus,Genus,207:00:00,196:06:00
29401,Bastillevirus,Genus,115:05:00,81:04:00
10944,Bixzunavirus,Genus,136:03:00,88:00:00
29736,Alcyoneusvirus,Genus,551:03:00,545:09:00
23131,Kochikohdavirus,Genus,117:07:00,105:05:00
12712,Friunavirus,Genus,153:08:00,72:05:00
23962,Emdodecavirus,Genus,240:09:00,124:03:00
10344,Firehammervirus,Genus,739:05:00,71:00:00
18657,Abouovirus,Genus,200:05:00,198:08:00
12469,Fromanvirus,Genus,56:08:00,34:00:00
16043,Tsarbombavirus,Genus,159:07:00,78:09:00
24358,Acadianvirus,Genus,66:08:00,65:09:00
979,Kafunavirus,Genus,71:01:00,52:02:00
18100,Andromedavirus,Genus,183:02:00,81:05:00
20875,Mosigvirus,Genus,236:01:00,217:08:00
13838,Homburgvirus,Genus,952:06:00,876:08:00
15962,Bongovirus,Genus,95:02:00,70:05:00
24029,Emdodecavirus,Genus,622:01:00,268:02:00
12506,Fromanvirus,Genus,109:08:00,
12015,Bruynoghevirus,Genus,121:04:00,104:09:00
16939,Kleczkowskavirus,Genus,196:02:00,152:08:00
15939,Bixzunavirus,Genus,62:09:00,
14521,Timquatrovirus,Genus,109:03:00,36:02:00
11154,Kostyavirus,Genus,172:08:00,121:03:00
11202,Kostyavirus,Genus,233:02:00,132:02:00
10020,Bixzunavirus,Genus,464:06:00,117:01:00
6692,Tequintavirus,Genus,149:00:00,67:02:00
11051,Bixzunavirus,Genus,285:06:00,78:07:00
12477,Fromanvirus,Genus,75:08:00,47:06:00
14029,Omegavirus,Genus,107:03:00,40:00:00
19765,Sepunavirus,Genus,157:00:00,120:06:00
28884,Rerduovirus,Genus,175:08:00,116:07:00
12481,Fromanvirus,Genus,127:06:00,
6173,Kayvirus,Genus,312:09:00,156:03:00
15836,Rosebushvirus,Genus,267:02:00,229:00:00
18050,Andromedavirus,Genus,429:06:00,213:01:00
11181,Kostyavirus,Genus,168:02:00,117:00:00
14463,Timquatrovirus,Genus,36:08:00,
27924,Mieseafarmvirus,Genus,165:01:00,66:00:00
30507,Caeruleovirus,Genus,392:08:00,331:01:00
11095,Kostyavirus,Genus,222:04:00,95:08:00
11127,Kostyavirus,Genus,157:03:00,121:03:00
15947,Pipefishvirus,Genus,107:02:00,85:04:00
23410,Tinduovirus,Genus,653:07:00,647:07:00
23652,Seunavirus,Genus,114:09:00,107:08:00
29164,Certrevirus,Genus,346:06:00,124:07:00
14357,Fromanvirus,Genus,50:06:00,32:06:00
10617,Fletchervirus,Genus,236:02:00,47:05:00
10631,Fletchervirus,Genus,126:04:00,37:05:00
14966,Bixzunavirus,Genus,145:05:00,138:04:00
17255,Pahexavirus,Genus,96:02:00,
28410,Mapvirus,Genus,272:04:00,251:05:00
23215,Pagevirus,Genus,155:01:00,87:02:00
22778,Sextaecvirus,Genus,125:04:00,114:09:00
4516,Tequatrovirus,Genus,129:01:00,124:01:00
9159,Skunavirus,Genus,93:09:00,32:06:00
14586,Bongovirus,Genus,126:09:00,121:07:00
11189,Omegavirus,Genus,112:04:00,106:08:00
19763,Sepunavirus,Genus,151:09:00,108:01:00
27376,Septimatrevirus,Genus,98:07:00,82:05:00
8747,Pecentumvirus,Genus,162:04:00,118:03:00
10481,Firehammervirus,Genus,94:00:00,86:03:00
21655,Zindervirus,Genus,82:01:00,50:03:00
6786,Tequintavirus,Genus,317:08:00,289:04:00
11126,Kostyavirus,Genus,145:03:00,124:03:00
30155,Cequinquevirus,Genus,164:04:00,125:07:00
6729,Tequintavirus,Genus,138:04:00,61:07:00
26973,Lessievirus,Genus,200:03:00,139:09:00
5541,Timquatrovirus,Genus,157:08:00,136:04:00
12504,Fromanvirus,Genus,82:09:00,48:08:00
27371,Septimatrevirus,Genus,100:04:00,69:04:00
11091,Kostyavirus,Genus,721:03:00,284:09:00
26465,Chenonavirus,Genus,155:04:00,122:05:00
21708,Yokohamavirus,Genus,178:05:00,163:00:00
21677,Cheoctovirus,Genus,179:01:00,145:04:00
14503,Timquatrovirus,Genus,52:00:00,
30698,Hanrivervirus,Genus,193:08:00,179:07:00
27352,Rtpvirus,Genus,156:02:00,155:00:00
19764,Sepunavirus,Genus,131:03:00,79:06:00
23722,Woodruffvirus,Genus,189:04:00,129:07:00
16813,Moineauvirus,Genus,104:00:00,97:05:00
16933,Kleczkowskavirus,Genus,635:04:00,420:03:00
22264,Omegavirus,Genus,173:01:00,101:09:00
23535,Mosigvirus,Genus,166:05:00,137:08:00
13550,Vequintavirus,Genus,247:09:00,239:07:00
11020,Bixzunavirus,Genus,312:00:00,240:06:00
14740,Fromanvirus,Genus,54:07:00,36:04:00
5146,Kuravirus,Genus,114:04:00,54:09:00
29158,Certrevirus,Genus,178:01:00,96:05:00
11357,Phifelvirus,Genus,167:03:00,156:06:00
9971,Bixzunavirus,Genus,558:01:00,172:05:00
14159,Kostyavirus,Genus,152:07:00,80:06:00
11184,Kostyavirus,Genus,136:04:00,120:01:00
29295,Homburgvirus,Genus,831:06:00,91:07:00
11808,Slopekvirus,Genus,120:03:00,114:04:00
29395,Bastillevirus,Genus,156:07:00,119:08:00
23127,Kochikohdavirus,Genus,209:04:00,207:05:00
22234,Timquatrovirus,Genus,255:04:00,58:08:00
6746,Tequintavirus,Genus,230:08:00,216:03:00
15868,Pipefishvirus,Genus,214:06:00,152:04:00
6718,Tequintavirus,Genus,245:00:00,108:04:00
15785,Bronvirus,Genus,158:03:00,130:07:00
24793,Nankokuvirus,Genus,118:03:00,89:01:00
5868,Myxoctovirus,Genus,491:09:00,237:03:00
26477,Barnyardvirus,Genus,117:05:00,75:04:00
18630,Siminovitchvirus,Genus,143:03:00,114:06:00
23112,Titanvirus,Genus,203:07:00,192:08:00
10642,Kayvirus,Genus,176:00:00,156:09:00
10405,Pecentumvirus,Genus,105:08:00,97:07:00
30921,Rosebushvirus,Genus,67:08:00,56:05:00
29386,Likavirus,Genus,268:09:00,265:02:00
14621,Barnyardvirus,Genus,839:04:00,762:01:00
6744,Tequintavirus,Genus,432:07:00,405:05:00
18582,Siminovitchvirus,Genus,209:05:00,200:07:00
18590,Siminovitchvirus,Genus,264:08:00,88:07:00
17950,Gamaleyavirus,Genus,147:08:00,143:08:00
21721,Obolenskvirus,Genus,148:03:00,145:09:00
23190,Pagevirus,Genus,546:05:00,286:09:00
6766,Tequintavirus,Genus,193:02:00,179:04:00
29718,Alcyoneusvirus,Genus,756:08:00,753:09:00
14598,Bongovirus,Genus,131:05:00,128:06:00
14344,Fromanvirus,Genus,79:04:00,
24409,Przondovirus,Genus,119:07:00,89:07:00
13095,Schizotequatrovirus,Genus,140:08:00,124:01:00
6778,Tequintavirus,Genus,302:04:00,259:05:00
15821,Bronvirus,Genus,152:03:00,137:00:00
6754,Tequintavirus,Genus,258:02:00,241:02:00
6724,Tequintavirus,Genus,85:05:00,80:06:00
6759,Tequintavirus,Genus,161:08:00,134:09:00
11164,Kostyavirus,Genus,182:00:00,156:02:00
23188,Pagevirus,Genus,612:06:00,335:07:00
27743,Fromanvirus,Genus,69:06:00,47:00:00
22718,Seuratvirus,Genus,53:03:00,48:08:00
21720,Yokohamavirus,Genus,189:08:00,179:03:00
4480,Mosigvirus,Genus,124:08:00,124:06:00
10606,Fletchervirus,Genus,372:00:00,43:05:00
14071,Gaiavirus,Genus,228:01:00,220:05:00
30330,Limestonevirus,Genus,538:07:00,252:05:00
18442,Slashvirus,Genus,3032:03:00,695:06:00
29454,Bastillevirus,Genus,376:07:00,341:07:00
8766,Agatevirus,Genus,187:05:00,184:09:00
27873,Pepyhexavirus,Genus,209:00:00,187:02:00
19775,Sepunavirus,Genus,125:09:00,123:05:00
14354,Fromanvirus,Genus,99:09:00,85:02:00
5465,Certrevirus,Genus,103:03:00,92:01:00
11148,Kostyavirus,Genus,244:09:00,68:02:00
27870,Pepyhexavirus,Genus,183:03:00,128:07:00
29542,Bequatrovirus,Genus,115:07:00,114:00:00
21909,Baltimorevirus,Genus,201:07:00,113:05:00
14207,Fromanvirus,Genus,242:04:00,115:00:00
27886,Pepyhexavirus,Genus,167:04:00,120:08:00
5568,Helsingorvirus,Genus,1088:03:00,83:07:00
27888,Pepyhexavirus,Genus,117:06:00,91:06:00
30623,Bequatrovirus,Genus,230:09:00,220:06:00
27897,Pepyhexavirus,Genus,144:08:00,90:03:00
27917,Mieseafarmvirus,Genus,404:07:00,66:00:00
4526,Gelderlandvirus,Genus,132:08:00,130:02:00
31031,Pepyhexavirus,Genus,186:05:00,128:07:00
30211,Firehammervirus,Genus,142:04:00,138:00:00
20817,Jwalphavirus,Genus,200:01:00,182:02:00
10641,Kayvirus,Genus,171:05:00,154:05:00
27893,Pepyhexavirus,Genus,154:09:00,131:08:00
22996,Svunavirus,Genus,228:03:00,227:00:00
23712,Vequintavirus,Genus,169:02:00,153:03:00
11361,Phifelvirus,Genus,158:06:00,122:05:00
27872,Pepyhexavirus,Genus,174:01:00,131:00:00
27877,Pepyhexavirus,Genus,165:05:00,125:02:00
14251,Cheoctovirus,Genus,109:06:00,
6233,Kayvirus,Genus,33:02:00,
4487,Tequatrovirus,Genus,111:00:00,103:01:00
27879,Pepyhexavirus,Genus,285:08:00,191:01:00
30680,Likavirus,Genus,501:07:00,299:07:00
17988,Gamaleyavirus,Genus,203:04:00,167:09:00
21719,Yokohamavirus,Genus,278:01:00,272:06:00
12616,Obolenskvirus,Genus,176:05:00,136:06:00
27887,Pepyhexavirus,Genus,457:09:00,417:03:00
30951,Bequatrovirus,Genus,102:06:00,54:08:00
22243,Timquatrovirus,Genus,158:04:00,97:09:00
31029,Pepyhexavirus,Genus,197:03:00,137:06:00
23659,Seunavirus,Genus,215:01:00,190:03:00
29514,Bastillevirus,Genus,156:01:00,40:01:00
31032,Pepyhexavirus,Genus,117:06:00,83:03:00
27892,Pepyhexavirus,Genus,246:08:00,163:08:00
17249,Pahexavirus,Genus,161:00:00,
13111,Schizotequatrovirus,Genus,362:04:00,46:05:00
18259,Yokohamavirus,Genus,279:03:00,272:02:00
27688,Tlsvirus,Genus,166:03:00,149:01:00
17251,Pahexavirus,Genus,199:02:00,
10962,Bixzunavirus,Genus,560:09:00,124:05:00
26956,Lessievirus,Genus,309:02:00,119:02:00
14160,Kostyavirus,Genus,430:02:00,75:09:00
17256,Pahexavirus,Genus,136:04:00,41:04:00
17254,Pahexavirus,Genus,284:00:00,254:02:00
17235,Pahexavirus,Genus,166:09:00,35:03:00
21749,Pahexavirus,Genus,71:03:00,42:03:00
15816,Bronvirus,Genus,129:05:00,56:01:00
18790,Cbastvirus,Genus,415:02:00,111:03:00
17258,Pahexavirus,Genus,182:01:00,
17257,Pahexavirus,Genus,85:03:00,34:06:00
14308,Cheoctovirus,Genus,114:03:00,61:00:00
17245,Pahexavirus,Genus,88:08:00,63:09:00
14731,Fromanvirus,Genus,498:00:00,425:07:00
18580,Siminovitchvirus,Genus,123:02:00,119:04:00
14366,Fromanvirus,Genus,90:09:00,44:01:00
21929,Baltimorevirus,Genus,191:06:00,162:07:00
11157,Kostyavirus,Genus,113:06:00,104:03:00
17250,Pahexavirus,Genus,177:00:00,64:03:00
14325,Fromanvirus,Genus,39:05:00,35:02:00
9897,Salasvirus,Genus,469:08:00,91:05:00
21771,Pecentumvirus,Genus,119:09:00,99:07:00
17241,Pahexavirus,Genus,104:05:00,41:08:00
11116,Kostyavirus,Genus,141:02:00,77:08:00
23537,Mosigvirus,Genus,169:00:00,168:07:00
28344,Alcyoneusvirus,Genus,455:02:00,442:06:00
29218,Certrevirus,Genus,158:01:00,59:01:00
22802,Tegunavirus,Genus,227:08:00,218:03:00
31040,Caeruleovirus,Genus,433:05:00,320:02:00
11804,Slopekvirus,Genus,299:06:00,204:08:00
29286,Chivirus,Genus,152:07:00,146:01:00
11113,Kostyavirus,Genus,210:05:00,180:01:00
14339,Fromanvirus,Genus,160:01:00,
22593,Dhakavirus,Genus,122:08:00,95:09:00
14264,Cheoctovirus,Genus,116:06:00,
17244,Pahexavirus,Genus,126:06:00,62:08:00
5732,Inhavirus,Genus,361:00:00,193:05:00
6769,Tequintavirus,Genus,779:08:00,716:00:00
21753,Pahexavirus,Genus,49:00:00,36:01:00
5987,Agricanvirus,Genus,169:04:00,164:09:00
27894,Pepyhexavirus,Genus,235:00:00,172:02:00
24243,Bruynoghevirus,Genus,138:01:00,125:01:00
29026,Bastillevirus,Genus,326:02:00,321:03:00
6767,Tequintavirus,Genus,225:07:00,201:04:00
27883,Pepyhexavirus,Genus,327:07:00,162:08:00
10295,Vhmlvirus,Genus,408:03:00,331:06:00
11093,Kostyavirus,Genus,439:01:00,178:00:00
14343,Fromanvirus,Genus,113:03:00,33:09:00
30972,Coopervirus,Genus,89:09:00,69:07:00
14389,Omegavirus,Genus,137:08:00,94:08:00
14324,Fromanvirus,Genus,118:09:00,63:08:00
14226,Cheoctovirus,Genus,377:03:00,202:00:00
21739,Yokohamavirus,Genus,231:01:00,220:09:00
10801,Pegunavirus,Genus,110:04:00,49:04:00
14345,Fromanvirus,Genus,66:06:00,56:03:00
14329,Fromanvirus,Genus,71:05:00,71:01:00
28706,Mapvirus,Genus,708:09:00,650:04:00
5012,Nitunavirus,Genus,135:09:00,109:06:00
14326,Fromanvirus,Genus,87:07:00,35:00:00
14350,Fromanvirus,Genus,127:05:00,77:08:00
17238,Pahexavirus,Genus,111:02:00,109:08:00
18260,Gamaleyavirus,Genus,125:06:00,124:05:00
14244,Cheoctovirus,Genus,36:00:00,
10948,Bixzunavirus,Genus,194:07:00,175:01:00
23351,Nonagvirus,Genus,510:06:00,151:04:00
10893,Pegunavirus,Genus,150:03:00,40:02:00
14340,Fromanvirus,Genus,152:06:00,42:09:00
6772,Tequintavirus,Genus,326:02:00,272:03:00
21802,Cepunavirus,Genus,305:06:00,227:04:00
16930,Kleczkowskavirus,Genus,204:01:00,92:03:00
23237,Schizotequatrovirus,Genus,189:01:00,48:00:00
9966,Bixzunavirus,Genus,155:09:00,77:05:00
18043,Andromedavirus,Genus,482:05:00,279:03:00
21967,Corndogvirus,Genus,141:06:00,79:03:00
12013,Bruynoghevirus,Genus,95:05:00,89:07:00
27418,Yuavirus,Genus,170:05:00,70:03:00
23898,Kochikohdavirus,Genus,1007:08:00,129:04:00
30981,Pagevirus,Genus,213:04:00,91:08:00
11903,Krischvirus,Genus,171:04:00,169:08:00
24538,Moonvirus,Genus,147:01:00,132:07:00
11316,Phifelvirus,Genus,160:08:00,157:06:00
16341,Fromanvirus,Genus,149:03:00,57:00:00
17242,Pahexavirus,Genus,105:08:00,96:00:00
29194,Certrevirus,Genus,149:04:00,99:01:00
6712,Tequintavirus,Genus,61:02:00,58:02:00
13405,Baltimorevirus,Genus,95:06:00,85:02:00
30250,Alcyoneusvirus,Genus,279:06:00,213:02:00
14242,Cheoctovirus,Genus,110:06:00,47:02:00
21699,Bignuzvirus,Genus,161:04:00,147:00:00
22646,Gaprivervirus,Genus,85:05:00,46:02:00
27028,Rauchvirus,Genus,324:08:00,306:04:00
10885,Pegunavirus,Genus,186:09:00,51:08:00
9220,Brussowvirus,Genus,124:00:00,123:09:00
20885,Gelderlandvirus,Genus,461:09:00,458:09:00
18172,Kochikohdavirus,Genus,181:04:00,141:01:00
14336,Fromanvirus,Genus,37:07:00,
27373,Septimatrevirus,Genus,143:03:00,92:02:00
22408,Enhodamvirus,Genus,343:05:00,70:02:00
14263,Cheoctovirus,Genus,77:03:00,47:03:00
27896,Pepyhexavirus,Genus,1378:07:00,964:05:00
15808,Bronvirus,Genus,136:06:00,122:01:00
24059,Emdodecavirus,Genus,139:05:00,116:09:00
26720,Krischvirus,Genus,819:09:00,72:00:00
6751,Tequintavirus,Genus,496:03:00,424:02:00
10019,Bixzunavirus,Genus,193:06:00,58:06:00
30686,Likavirus,Genus,147:06:00,48:09:00
22674,Wildcatvirus,Genus,1470:05:00,1263:03:00
23265,Slashvirus,Genus,376:02:00,272:05:00
14161,Kostyavirus,Genus,262:04:00,99:06:00
18532,Siminovitchvirus,Genus,294:07:00,234:03:00
8685,Bequatrovirus,Genus,136:05:00,134:09:00
11178,Kostyavirus,Genus,216:08:00,163:05:00
11151,Kostyavirus,Genus,109:03:00,59:05:00
20841,Zindervirus,Genus,164:01:00,46:05:00
10878,Pegunavirus,Genus,162:08:00,35:09:00
16884,Avunavirus,Genus,217:08:00,113:02:00
8676,Pecentumvirus,Genus,239:09:00,179:01:00
23614,Seunavirus,Genus,157:05:00,156:02:00
25689,Hendrixvirus,Genus,137:03:00,133:01:00
13845,Saphexavirus,Genus,680:05:00,614:02:00
10875,Pegunavirus,Genus,98:05:00,92:00:00
27088,Caeruleovirus,Genus,159:00:00,150:02:00
11171,Kostyavirus,Genus,76:04:00,34:07:00
18253,Ithacavirus,Genus,122:08:00,120:07:00
16723,Kochikohdavirus,Genus,113:02:00,100:03:00
10979,Bixzunavirus,Genus,87:07:00,60:09:00
25593,Lomovskayavirus,Genus,440:03:00,330:02:00
28337,Seunavirus,Genus,325:07:00,305:07:00
13773,Rogunavirus,Genus,274:02:00,259:07:00
14418,Omegavirus,Genus,76:06:00,70:02:00
6765,Alcyoneusvirus,Genus,148:04:00,132:09:00
20602,Krischvirus,Genus,166:06:00,154:04:00
13803,Webervirus,Genus,127:03:00,113:01:00
27734,Chunghsingvirus,Genus,180:08:00,106:05:00
6701,Tequintavirus,Genus,71:02:00,46:04:00
11643,Kagunavirus,Genus,671:04:00,606:01:00
21696,Mapvirus,Genus,205:08:00,200:02:00
10884,Pegunavirus,Genus,190:01:00,36:04:00
14346,Fromanvirus,Genus,243:00:00,129:03:00
24473,Titanvirus,Genus,134:09:00,81:08:00
5945,Tidunavirus,Genus,417:08:00,378:03:00
22587,Gaprivervirus,Genus,80:05:00,79:01:00
10281,Vhmlvirus,Genus,128:00:00,125:05:00
20578,Slopekvirus,Genus,116:09:00,105:04:00
12594,Mieseafarmvirus,Genus,180:01:00,173:01:00
12514,Fromanvirus,Genus,94:01:00,46:04:00
10983,Bixzunavirus,Genus,1021:01:00,139:04:00
24826,Nankokuvirus,Genus,249:01:00,193:05:00
6763,Cetovirus,Genus,381:04:00,220:06:00
21040,Agatevirus,Genus,151:05:00,62:08:00
25561,Saphexavirus,Genus,131:08:00,130:03:00
27559,Pepyhexavirus,Genus,300:07:00,209:08:00
10987,Bixzunavirus,Genus,156:01:00,32:00:00
10276,Vhmlvirus,Genus,204:01:00,45:00:00
16951,Nickievirus,Genus,992:06:00,117:04:00
10852,Pegunavirus,Genus,98:06:00,
21661,Lilyvirus,Genus,97:05:00,97:04:00
30167,Cequinquevirus,Genus,277:09:00,129:00:00
16487,Timquatrovirus,Genus,170:01:00,139:08:00
24470,Titanvirus,Genus,286:08:00,239:03:00
14351,Fromanvirus,Genus,103:06:00,60:03:00
10632,Fletchervirus,Genus,328:06:00,82:08:00
4535,Moonvirus,Genus,127:07:00,125:04:00
27972,Yokohamavirus,Genus,349:00:00,147:01:00
11078,Pegunavirus,Genus,233:05:00,
23728,Lomovskayavirus,Genus,205:01:00,126:08:00
11362,Phifelvirus,Genus,196:00:00,166:09:00
27397,Yuavirus,Genus,125:08:00,100:01:00
8612,Hendrixvirus,Genus,238:01:00,238:00:00
14170,Kostyavirus,Genus,134:06:00,62:03:00
9983,Bixzunavirus,Genus,339:00:00,46:08:00
12394,Brujitavirus,Genus,83:09:00,80:05:00
26652,Krischvirus,Genus,213:06:00,64:07:00
20768,Cequinquevirus,Genus,202:06:00,173:00:00
12498,Fromanvirus,Genus,131:08:00,122:00:00
18799,Lightbulbvirus,Genus,222:00:00,102:08:00
9973,Bixzunavirus,Genus,352:08:00,33:02:00
6188,Kayvirus,Genus,130:05:00,110:07:00
27919,Mieseafarmvirus,Genus,599:09:00,99:02:00
10872,Pegunavirus,Genus,98:08:00,50:03:00
14086,Omegavirus,Genus,280:04:00,251:04:00
24140,Emdodecavirus,Genus,151:06:00,85:08:00
23312,Slashvirus,Genus,122:02:00,121:08:00
17237,Pahexavirus,Genus,175:03:00,125:03:00
9975,Bixzunavirus,Genus,412:05:00,
18817,Ficleduovirus,Genus,144:04:00,118:06:00
30323,Vhmlvirus,Genus,332:04:00,283:04:00
11088,Kostyavirus,Genus,207:02:00,161:08:00
9984,Bixzunavirus,Genus,373:08:00,
11132,Kostyavirus,Genus,185:01:00,78:02:00
27409,Yuavirus,Genus,124:07:00,53:07:00
14980,Bixzunavirus,Genus,175:01:00,89:01:00
10986,Bixzunavirus,Genus,159:06:00,53:03:00
23634,Certrevirus,Genus,409:02:00,368:05:00
30319,Hendrixvirus,Genus,81:05:00,75:04:00
9968,Bixzunavirus,Genus,710:01:00,574:04:00
13971,Cheoctovirus,Genus,208:00:00,203:08:00
22629,Dhakavirus,Genus,127:09:00,121:05:00
18046,Andromedavirus,Genus,127:00:00,53:09:00
10808,Pegunavirus,Genus,124:00:00,
12916,Schizotequatrovirus,Genus,1070:07:00,205:07:00
10877,Pegunavirus,Genus,171:03:00,
10888,Pegunavirus,Genus,77:05:00,
22908,Titanvirus,Genus,157:01:00,155:02:00
10868,Pegunavirus,Genus,163:05:00,55:08:00
17265,Pegunavirus,Genus,78:07:00,44:06:00
10869,Pegunavirus,Genus,240:02:00,
10812,Pegunavirus,Genus,99:05:00,36:07:00
10880,Pegunavirus,Genus,108:07:00,52:02:00
10873,Pegunavirus,Genus,164:09:00,32:06:00
22618,Mosigvirus,Genus,102:01:00,89:05:00
16949,Nickievirus,Genus,125:01:00,123:03:00
10862,Pegunavirus,Genus,246:00:00,47:03:00
11143,Kostyavirus,Genus,180:04:00,78:05:00
11284,Unaquatrovirus,Genus,419:00:00,405:07:00
10818,Pegunavirus,Genus,234:07:00,164:08:00
27878,Pepyhexavirus,Genus,453:07:00,362:09:00
